Datetime,Open,High,Low,Close,Volume,Change,Change_Pct,Bar_Range,Body,Upper_Wick_Pct,Lower_Wick_Pct,VWAP,Cum_Volume,Vol_Delta,Cum_Vol_Delta,EMA_9,EMA_21,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,Vol_SMA_20,Rel_Volume
2026-06-18 13:45:00-04:00,16.48,16.49,16.442,16.46,9521,-0.01,-0.0607,0.048,0.02,20.8337,37.499,16.7425,1081620.0,-9521,-167680.0,16.4193,16.4273,50.1093,-0.04,-0.0739,0.0339,16.5019,16.3587,16.2154,9609.15,0.9908
2026-06-18 13:50:00-04:00,16.4497,16.49,16.44,16.49,7267,0.03,0.1823,0.05,0.0403,0.0,19.398,16.7407,1088887.0,7267,-160413.0,16.4334,16.433,52.1813,-0.0309,-0.0653,0.0344,16.5206,16.3671,16.2136,9396.9,0.7733
2026-06-18 13:55:00-04:00,16.4673,16.5,16.4614,16.475,4809,-0.015,-0.091,0.0386,0.0077,64.7643,15.2881,16.7396,1093696.0,4809,-155604.0,16.4417,16.4368,51.04,-0.0245,-0.0572,0.0326,16.5289,16.3782,16.2276,8663.0,0.5551
2026-06-18 14:00:00-04:00,16.45,16.465,16.34,16.4581,14707,-0.0169,-0.1026,0.125,0.0081,5.5206,88.0005,16.7354,1108403.0,14707,-140897.0,16.445,16.4387,49.7204,-0.0207,-0.0499,0.0292,16.5372,16.3852,16.2331,9041.95,1.6265
2026-06-18 14:05:00-04:00,16.46,16.51,16.43,16.51,3161,0.0519,0.3154,0.08,0.05,0.0,37.4985,16.7346,1111564.0,3161,-137736.0,16.458,16.4452,53.6808,-0.0132,-0.0425,0.0293,16.554,16.3927,16.2313,8935.05,0.3538
2026-06-18 14:10:00-04:00,16.515,16.54,16.3514,16.37,16138,-0.14,-0.848,0.1886,0.145,13.2563,9.8624,16.7301,1127702.0,-16138,-153874.0,16.4404,16.4384,43.685,-0.0184,-0.0377,0.0193,16.5476,16.3981,16.2487,8329.9,1.9374
2026-06-18 14:15:00-04:00,16.34,16.3986,16.3,16.3986,11325,0.0286,0.1747,0.0986,0.0586,0.0,40.5687,16.7265,1139027.0,11325,-142549.0,16.432,16.4348,45.9011,-0.02,-0.0342,0.0142,16.5428,16.4041,16.2654,8412.25,1.3463
2026-06-18 14:20:00-04:00,16.3964,16.42,16.38,16.39,4989,-0.0086,-0.0524,0.04,0.0064,58.9977,25.0,16.7251,1144016.0,-4989,-147538.0,16.4236,16.4307,45.3235,-0.0217,-0.0317,0.01,16.5424,16.4063,16.2702,7994.0,0.6241
2026-06-18 14:25:00-04:00,16.39,16.4234,16.38,16.39,8032,0.0,0.0,0.0434,0.0,76.9589,23.0411,16.7228,1152048.0,8032,-139506.0,16.4169,16.427,45.3235,-0.0228,-0.0299,0.0071,16.5413,16.4091,16.2769,8130.1,0.9879
2026-06-18 14:30:00-04:00,16.39,16.525,16.39,16.465,12147,0.075,0.4576,0.135,0.075,44.444,0.0,16.7201,1164195.0,12147,-127359.0,16.4265,16.4305,51.4967,-0.0174,-0.0274,0.01,16.5378,16.4183,16.2989,8286.6,1.4659
2026-06-18 14:35:00-04:00,16.5088,16.51,16.43,16.45,6301,-0.015,-0.0911,0.08,0.0588,1.4997,25.0006,16.7187,1170496.0,-6301,-133660.0,16.4312,16.4322,50.2742,-0.0142,-0.0248,0.0106,16.5288,16.4266,16.3244,7988.3,0.7888
2026-06-18 14:40:00-04:00,16.47,16.47,16.42,16.45,11361,0.0,0.0,0.05,0.02,0.0,60.0023,16.7161,1181857.0,-11361,-145021.0,16.435,16.4338,50.2742,-0.0115,-0.0221,0.0106,16.5175,16.4341,16.3507,8223.75,1.3815
2026-06-18 14:45:00-04:00,16.4219,16.53,16.4219,16.525,16112,0.075,0.4559,0.1081,0.1031,4.6263,0.0,16.713,1197969.0,16112,-128909.0,16.453,16.4421,56.2913,-0.0033,-0.0183,0.0151,16.5308,16.4408,16.3509,8600.5,1.8734
2026-06-18 14:50:00-04:00,16.5399,16.5399,16.45,16.45,10649,-0.075,-0.4539,0.0899,0.0899,0.0,0.0,16.711,1208618.0,-10649,-139558.0,16.4524,16.4428,49.8015,-0.0028,-0.0152,0.0125,16.5306,16.4438,16.3571,8851.55,1.2031
2026-06-18 14:55:00-04:00,16.43,16.5138,16.405,16.485,14069,0.035,0.2128,0.1088,0.055,26.47,22.9778,16.7082,1222687.0,14069,-125489.0,16.4589,16.4467,52.5508,0.0004,-0.0121,0.0125,16.5313,16.4441,16.3569,8880.1,1.5843
2026-06-18 15:00:00-04:00,16.485,16.485,16.415,16.42,11341,-0.065,-0.3943,0.07,0.065,0.0,7.1417,16.7057,1234028.0,-11341,-136830.0,16.4511,16.4443,47.3628,-0.0022,-0.0101,0.0079,16.5313,16.4436,16.3559,9125.5,1.2428
2026-06-18 15:05:00-04:00,16.385,16.41,16.38,16.39,5589,-0.03,-0.1827,0.03,0.005,66.6667,16.6698,16.7043,1239617.0,5589,-131241.0,16.4389,16.4393,45.1474,-0.0067,-0.0094,0.0027,16.5319,16.4431,16.3543,9036.35,0.6185
2026-06-18 15:10:00-04:00,16.37,16.37,16.28,16.33,26476,-0.06,-0.3661,0.09,0.04,0.0,55.5546,16.6964,1266093.0,-26476,-157717.0,16.4171,16.4294,41.0154,-0.0149,-0.0105,-0.0044,16.5404,16.4383,16.3363,10191.2,2.5979
2026-06-18 15:15:00-04:00,16.3101,16.3133,16.285,16.3,7560,-0.03,-0.1837,0.0283,0.0101,11.3028,53.0026,16.6941,1273653.0,-7560,-165277.0,16.3937,16.4176,39.0889,-0.0236,-0.0131,-0.0104,16.5516,16.4338,16.3161,10308.55,0.7334
